experiment,x_variable,x_label,y_variable,y_label,observed_x,observed_y,plot_x,plot_y,spearman_rho,q_value
3,aq_score,AQ,4_nf_daily,Daily familiarity,23,0.625,22.85859779989465,0.60594224563349697,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,33,0.5,33.138821768426531,0.4793436294878477,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,39,1.5,38.971497603497575,1.4815245025478332,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,25,-0.875,24.920615482628257,-0.86215954330802169,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,33,2,33.159551328055457,1.9761012580131148,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,24,1.875,24.078383639023965,1.8513223817499775,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,17,-1.625,16.929830491349254,-1.6225730565585841,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,33,0,32.892071479547759,-0.015201433059373401,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,26,1.5,25.959233069701305,1.5147646088260374,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,28,0.5,27.844304893615689,0.49174097858774252,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,16,0.625,15.880307840311708,0.60836451362414501,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,32,-0.75,32.021008709297107,-0.76824252344735777,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,25,0,24.837414043121552,0.0137046821711874,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,13,0.875,13.155681176647899,0.8554248243385465,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,16,-0.625,15.993361570859912,-0.62567283390574835,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,27,0.375,26.913901713882179,0.38680379614024218,0.2344950776831648,5.6196470670873507e-05
3,aq_score,AQ,4_nf_daily,Daily familiarity,16,0.125,15.947063928127042,0.13671052500724579,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,29,0.375,29.074532130502611,0.39081529060394948,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,21,-0.375,20.943730788048754,-0.36706054038184621,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,18,2.25,17.890581340217366,2.2579301397254938,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,19,0.625,18.931356163600576,0.61247374865321447,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,34,1.375,34.002671310817725,1.372983899337552,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,20,-0.5,20.142020360484629,-0.48790575630757899,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,10,0.25,10.119689048905444,0.2540631605423001,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,18,0.625,17.901689807438856,0.63881394828938487,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,37,1,36.915245821590638,0.99249187240454484,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,5,-0.5,4.9737344069214275,-0.52425540518824421,0.2344950776831648,5.6196470670873507e-05
