experiment,mode,questionnaire_variable,questionnaire_label,observed_face_fni,observed_questionnaire_value,plot_face_fni,plot_questionnaire_value
5,online,aq_score,AQ,0.1692647058823529,22,0.17562564767358149,22.075171258811977
5,online,aq_score,AQ,1.0001470588235295,30,0.99340392896484564,30.017936841033617
5,online,aq_score,AQ,-0.6589705882352942,29,-0.66149941388612354,29.097156794836199
5,online,aq_score,AQ,0.032058823529411702,26,0.0239323912263604,25.90727988491733
5,online,aq_score,AQ,0.91852941176470604,23,0.92248236640248837,22.908129581566104
5,online,aq_score,AQ,-0.38132352941176467,25,-0.39259672866159051,25.042796591529768
5,online,aq_score,AQ,0.31470588235294111,13,0.32220692700732317,12.980229864214358
5,online,aq_score,AQ,0.82691176470588246,14,0.8374279956766405,13.954706803593034
5,online,aq_score,AQ,-0.042647058823529399,28,-0.037796269354615199,27.959678702436133
5,online,aq_score,AQ,0.17161764705882351,24,0.17653165818315189,24.028543808000649
5,online,aq_score,AQ,-0.32367647058823529,11,-0.33046764487778429,10.956205016724576
5,online,aq_score,AQ,0.78323529411764703,18,0.77401332441009152,17.931271689643356
5,online,aq_score,AQ,-0.061029411764705797,13,-0.064264575815972405,13.05074673739284
5,online,aq_score,AQ,0.93661764705882344,32,0.9258787931250142,32.03673066264183
5,online,aq_score,AQ,0.095735294117647002,10,0.1064542918445555,9.9498284995122876
5,online,aq_score,AQ,0.1210294117647058,22,0.1171152133503392,21.908948227391601
5,online,aq_score,AQ,0.53470588235294114,13,0.53471675547601727,13.110612603305484
5,online,aq_score,AQ,-0.17117647058823521,23,-0.17794151595970731,22.931128532769385
5,online,aq_score,AQ,0.3030882352941176,12,0.30246330464090748,12.084126242006199
5,online,aq_score,AQ,1.3576470588235292,25,1.362613187405469,24.937961667171574
5,online,aq_score,AQ,0.073088235294117607,30,0.072906604085041099,30.074555920425283
5,online,aq_score,AQ,0.075588235294117595,28,0.065558443819232606,27.935792368836807
5,online,aq_score,AQ,0.38823529411764701,14,0.39140707342079789,13.968002215793843
5,online,aq_score,AQ,0.00058823529411759995,25,-0.0051166029399344996,25.006856881610947
5,online,aq_score,AQ,0.14294117647058821,21,0.13262118658975819,21.081553164805452
5,online,aq_score,AQ,0.63970588235294112,13,0.64476287863679627,13.088380578349859
5,online,aq_score,AQ,0.22058823529411761,13,0.22505098784853239,13.037301462166845
5,online,aq_score,AQ,1.0070588235294118,16,1.0068779864901165,15.958686828213374
5,online,aq_score,AQ,-0.13397058823529409,22,-0.14418617078828511,21.902694232246382
5,online,aq_score,AQ,0.86161764705882349,17,0.85790892503895355,16.941730709360641
5,online,aq_score,AQ,0.32279411764705879,17,0.32911758067962649,17.069284716331573
5,online,aq_score,AQ,-0.43779411764705878,13,-0.44193184419547538,12.928582374638363
5,online,aq_score,AQ,0.31485294117647061,19,0.31266850875766589,18.97974023723102
5,online,aq_score,AQ,-0.083382352941176394,23,-0.084387050760172,22.907408046825353
5,online,aq_score,AQ,-1.8600000000000001,33,-1.849860753443876,33.04925554155561
5,online,aq_score,AQ,-0.29588235294117649,26,-0.2960256566581641,26.053773998645266
5,online,aq_score,AQ,0.38411764705882351,19,0.38966780861818001,19.029584067253477
5,online,aq_score,AQ,-0.41470588235294109,24,-0.41283676972697581,23.956892117175276
5,online,aq_score,AQ,0.4391176470588235,16,0.44543094167045849,16.095984770777818
5,online,aq_score,AQ,0.19323529411764701,16,0.19754463644128631,15.905827576689717
5,online,aq_score,AQ,-0.2642647058823529,15,-0.2551015239153514,15.069328402329466
5,online,aq_score,AQ,0.20132352941176471,9,0.19334291790812541,9.0140408410402095
5,online,aq_score,AQ,0.61602941176470594,24,0.60877222709482937,23.963418408107984
5,online,aq_score,AQ,0.43544117647058822,26,0.42605841552625678,26.092910117761775
5,online,aq_score,AQ,0.080588235294117599,22,0.071277547585122406,22.093316694143827
5,online,aq_score,AQ,0.65382352941176469,23,0.64567861538446891,22.955701952374525
5,online,aq_score,AQ,0.54397058823529409,12,0.53508671184374479,11.88760922765942
5,online,aq_score,AQ,0.39470588235294118,10,0.38989697120914402,10.02052113605907
5,online,aq_score,AQ,0.062058823529411701,13,0.059015759518991899,13.072150326548496
5,online,aq_score,AQ,1.1557352941176471,11,1.1587071790661057,11.096552310667215
5,online,aq_score,AQ,-0.042647058823529399,32,-0.038593781355210299,32.103587624878415
5,online,aq_score,AQ,-0.11970588235294111,28,-0.12379872798923459,28.096646324124833
5,online,aq_score,AQ,-0.1041176470588235,22,-0.1129153680175549,22.115159493460641
5,online,aq_score,AQ,0.6536764705882353,14,0.64553476364711038,14.007926152524409
5,online,aq_score,AQ,0.40911764705882347,15,0.40632994535731759,14.960642002606502
5,online,aq_score,AQ,-0.19558823529411759,22,-0.20179362839314829,22.062042669123265
5,online,aq_score,AQ,-0.0045588235294117003,15,0.0037758167126333,14.965073748004237
5,online,aq_score,AQ,0.73382352941176465,14,0.7265011606117826,14.081325341428091
5,online,aq_score,AQ,-0.1326470588235294,13,-0.1277621291582291,12.950663438392954
5,online,aq_score,AQ,0.6707352941176471,22,0.66533854048573748,21.972197706662733
5,online,aq_score,AQ,0.46073529411764702,22,0.46383446999012551,22.06000365385345
5,online,aq_score,AQ,0.54749999999999999,19,0.54552151361761791,18.986770857904009
5,online,aq_score,AQ,1.1597058823529411,17,1.1550776163281766,17.039243173038109
5,online,aq_score,AQ,0.44720588235294118,17,0.44607415545155238,17.045335385024025
5,online,aq_score,AQ,0.75955882352941173,18,0.76489837601963528,17.945186465145426
5,online,aq_score,AQ,0.1324999999999999,26,0.12705987836328331,25.923701067722138
5,online,aq_score,AQ,0.51455882352941185,12,0.51676262595166456,11.914543664640048
5,online,aq_score,AQ,-0.24926470588235289,24,-0.2534470319751389,24.11234706875355
5,online,aq_score,AQ,-0.30279411764705882,22,-0.2944239466339808,21.906839866964894
5,online,aq_score,AQ,0.2533823529411765,21,0.25831336173704028,20.987056180581515
5,online,aq_score,AQ,0.27250000000000002,26,0.28179194266831858,26.033949442003184
5,online,aq_score,AQ,-0.1464705882352941,24,-0.13646059594986479,23.910651298110356
5,online,aq_score,AQ,-0.23823529411764699,22,-0.2430708917200938,21.895285064632866
5,online,aq_score,AQ,0.2276470588235294,31,0.2253049173589711,30.896951156093259
5,online,aq_score,AQ,0.54647058823529404,22,0.53683094758758554,22.019947096618179
5,online,aq_score,AQ,-0.53411764705882359,22,-0.52360057173679597,22.089514475288414
5,online,aq_score,AQ,0.0045588235294117003,13,-0.0026063458745635999,13.057862352750172
