manuscript_profile_id,analysis_record_id,experiment,task_label,mode,face_fni,geometry_fni,scenery_fni,mean_category_fni,4_nf_daily,average_category_fni_daily_nf,4_food/cuisine,4_places/activities,4_movies or videos,4_restaurant,4_clothes,4_digital games,4_books or magazines,4_snacks or treats,plot_order,average_rug_unit,jitter_face,jitter_geometry,jitter_scenery,jitter_food,jitter_places,jitter_movies,jitter_restaurant,jitter_clothes,jitter_games,jitter_books,jitter_snacks,daily_line_order
P049,A199,5,Task 5,online,0.8269117647058823,-0.5117647058823529,-0.9692647058823533,-0.2180392156862744,-1.375,-0.7965196078431372,-1,-2,-2,-2,-1,0,-2,-1,48,0.6625490089817841,-0.0851752041398245,-0.1095386017703265,-0.0019148772652919,-0.0776788324394094,-0.006652343243663,-0.0978341355583554,0.0374704285211477,-0.0453455095966545,0.0764945501674517,0.030049655739118,-0.0513299451140031,44
P050,A200,5,Task 5,online,-0.0426470588235293,0.0095588235294116,-0.0510294117647058,-0.0280392156862744,1.875,0.9234803921568628,2,2,1,0,2,3,3,2,49,-0.3248395809264594,0.1184796842230516,0.1027749253212817,-0.0950833522759921,0.1046217884065604,-0.0027700297553502,-0.0591432420535374,0.0926831302673848,0.0282175039430336,-0.1072959956492503,0.098721592204132,-0.1358135723212096,-1
P051,A201,5,Task 5,online,0.1716176470588235,0.0897058823529409,-0.3438235294117644,-0.0274999999999999,1.875,0.92375,2,2,3,2,3,2,1,0,50,0.3871303666672725,0.1150300295742341,-0.0355384785252384,-0.1114748306713358,-0.139786149937107,0.1165647996631065,-0.069544253478989,0.1171246776748218,0.1475609312016907,-0.0203155238442678,0.0740072049889255,-0.0600883891934467,56
P052,A202,5,Task 5,online,-0.3236764705882351,0.553235294117647,-1.383970588235294,-0.3848039215686273,-1.375,-0.8799019607843137,-1,-1,-2,-2,-1,-1,-1,-2,51,0.4755962838308227,-0.0317701179520403,0.1060630364886504,-0.0033729672676097,-0.0918591214302583,0.0862238918468851,-0.0698358346075567,-0.0362290001217178,0.1104584770581193,-0.0326986252116599,-0.0200244815413774,-0.132866770549943,9
P053,A203,5,Task 5,online,0.7832352941176469,0.2280882352941175,-0.5257352941176469,0.1618627450980391,-0.625,-0.2315686274509803,1,1,-2,-2,1,-1,-3,0,52,0.887319864644226,-0.0213683257580583,0.0374833015420434,-0.0412336270227864,0.0044134366111442,-0.0130541758242204,-0.0212826830215467,-0.0635667622308909,-0.0224607400244349,-0.0533968479387326,-0.0330696659840606,0.0772969754362016,-1
P054,A204,5,Task 5,online,-0.0610294117647057,-0.4473529411764706,-0.5036764705882351,-0.3373529411764705,-0.375,-0.3561764705882353,0,0,0,0,-1,-1,-2,1,53,-0.1621608837273977,-0.0876165355124094,-0.062122038890799,0.0150818405951235,-0.1163849044223799,-0.0837211000267862,-0.094836817455313,0.0956367272157405,0.0624339230863696,0.0289516860501005,-0.0729240139905945,0.1200868169873789,-1
P055,A205,5,Task 5,online,0.9366176470588234,0.1114705882352941,-0.4111764705882353,0.2123039215686274,1.0,0.6061519607843135,2,2,2,0,2,-1,2,-1,54,0.285421280044692,0.0721805347942064,0.005976138895017,-0.0815473152181457,0.1156170342547993,0.0458753524074762,-0.0176550646717065,0.1228032594450016,0.1432460498045884,-0.046766075450277,0.0558140980654536,0.0736645490642041,-1
P056,A206,5,Task 5,online,0.095735294117647,0.4729411764705882,1.581470588235294,0.7167156862745095,0.625,0.6708578431372549,1,2,-2,2,-1,2,-1,2,55,-0.991968932731408,-0.0992308287190852,0.0720035142172427,0.1097727354461239,0.1137061380934916,-0.0587293063604421,0.007799472723307,0.0430570646362586,-0.1396970503542893,0.0838781325086006,0.1459192407558243,0.0898679580263851,-1
P057,A207,5,Task 5,online,0.1210294117647058,0.0435294117647058,-0.5401470588235293,-0.1251960784313725,0.5,0.1874019607843137,0,0,1,1,0,0,1,1,56,0.2564481029981409,0.116317611642428,0.0243252018880179,-0.0305611948471964,0.0628703615662287,-0.1267794613739768,-0.08630996074666,0.1211778590857391,0.0407138822563827,-0.1376976379922174,0.1408116619798787,0.0884260720330059,-1
P058,A208,5,Task 5,online,0.5347058823529411,0.4060294117647059,-1.043676470588235,-0.0343137254901959,0.375,0.1703431372549019,2,-1,-2,1,-2,1,3,1,57,0.3462465137407221,-0.0813723334811987,-0.0365562431816542,0.0574560232145718,-0.0699309338847436,0.122937603606251,-0.0423358406893247,0.0903754752610221,0.0882574462061865,-0.0801905761387401,0.1198320887435704,0.1442693636791757,32
P059,A209,5,Task 5,online,-0.1711764705882352,-0.565735294117647,-1.396764705882353,-0.7112254901960785,-0.5,-0.6056127450980393,-1,-2,-3,2,-2,2,-2,2,58,0.2281266636596519,0.0053124641878847,0.0192506165189032,-0.1202543464691031,-0.0090884060688641,0.1283725817796655,-0.0179357390432502,0.1273086677858276,-0.0006083581785726,0.0977657609536423,0.1138057321220407,0.1300674929261161,-1
P060,A210,5,Task 5,online,0.3030882352941176,0.1630882352941175,-0.5476470588235293,-0.027156862745098,0.25,0.1114215686274509,2,2,-1,-1,2,0,-1,-1,59,-0.6336476510946578,-0.0808543956422684,0.0778478101871136,-0.0842479294834077,-0.0293960139593233,-0.048691570446159,-0.0480187982309153,0.1268755778177957,-0.125856762534622,-0.1463602009114778,-0.0458651237198614,0.0434448104846466,50
P061,A211,5,Task 5,online,1.3576470588235292,0.0438235294117646,0.0758823529411764,0.4924509803921566,0.0,0.2462254901960783,-1,-2,-2,1,2,2,-2,2,60,-0.5683642854175593,-0.1035404450119885,0.0850920084009827,0.0306501267533892,0.0352872562214303,0.0002072497353115,-0.0768844884797875,0.0851931174611824,0.1144769126012093,-0.0754285594428582,-0.0269468796103316,-0.1011368319814484,35
P062,A212,5,Task 5,online,0.0730882352941176,0.4792647058823529,1.1079411764705882,0.5534313725490195,0.625,0.5892156862745097,2,2,-2,2,3,-2,-1,1,61,0.8665903562335175,-0.1082451795297526,-0.0109432136014106,0.0702150510544593,-0.0628339704674159,-0.1043817952289171,0.0070272083455456,-0.0449116414270969,0.0063463134971134,-0.0251620824675363,-0.005085677781215,0.0795778257542984,-1
P063,A213,5,Task 5,online,0.0755882352941174,-0.6038235294117646,-1.0525000000000002,-0.5269117647058824,0.5,-0.0134558823529411,2,2,-1,1,1,-1,-2,2,62,-0.6273574437239384,0.0253912651340078,-0.0608541829919245,-0.0366677578240175,0.1102801760796212,-0.0236169538829617,-0.1322812471943924,-0.0750081117380499,0.116539780855459,-0.1344901042170295,-0.1137209684119148,-0.0895520471624865,5
P064,A214,5,Task 5,online,0.388235294117647,0.7774999999999997,-1.04,0.0419117647058821,1.75,0.8959558823529411,2,2,2,1,2,1,2,2,63,-0.4224964201519513,0.0345783134709945,-0.0633440959080172,-0.1051306639404658,0.0070430074347501,-0.0202083654681597,-0.149206361204855,0.0482559522977051,-0.0260500276332025,0.0637776686962577,-0.1157438158717692,0.0022599077848814,63
P065,A215,5,Task 5,online,0.0005882352941174,-0.0352941176470588,-0.3952941176470588,-0.1433333333333333,1.25,0.5533333333333333,2,2,-1,3,3,2,0,-1,64,-0.6631609376536511,-0.087588526224321,-0.0559129228801864,0.052678444622196,-0.1085908207953641,0.0061800533725985,0.0683137045342562,-0.1041203146185805,-0.1144422336830762,-0.0456335873451909,0.1337221527907349,-0.0374570874490251,17
P066,A216,5,Task 5,online,0.1429411764705882,0.1467647058823529,-0.6852941176470588,-0.1318627450980391,0.875,0.3715686274509804,2,2,-1,-1,2,2,-1,2,65,-0.4370374423811291,0.0240811259564992,-0.0910914549770072,0.0951057389927199,0.084699261794191,-0.1328136792599212,-0.0870039938813357,-0.0467394159823609,-0.0506929420349932,0.1381277967569669,0.0063154852414828,0.0588818964867424,38
P067,A217,5,Task 5,online,0.6397058823529411,1.411764705882353,-0.7573529411764705,0.4313725490196079,1.25,0.8406862745098039,2,2,-2,2,2,2,0,2,66,-0.3523975025231547,-0.0486575048257308,-0.1100300232521304,-0.0668932803939008,0.0356705982978463,0.1238340830885197,-0.1371793190214059,-0.0272877123367384,-0.14628474862721,0.1471252522465884,-0.0586348719630985,-0.0594952828832419,-1
P068,A218,5,Task 5,online,0.2205882352941176,0.4263235294117647,-1.2547058823529411,-0.2025980392156862,-0.125,-0.1637990196078431,1,2,-2,-1,2,0,-2,-1,67,0.7047503808566615,0.1174893606536178,-0.1129659442411316,-0.0335703717800919,-0.1026784484496789,0.0893998905759632,-0.0238041519022304,0.0618691048082027,-0.0906957034343301,0.0815651931755868,0.0990401292046075,-0.0933076275399651,23
